STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,7,Burglary and related offences (07),Number,1697
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,711,Aggravated burglary (0711),Number,14
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,712,Burglary (not aggravated) (0712),Number,1678
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,8,Theft and related offences (08),Number,3324
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,81,Theft/taking of vehicle and related offences (081),Number,494
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,821,Theft from person (0821),Number,160
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,822,Theft from shop (0822),Number,642
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,84,"Other thefts, handling stolen property (084)",Number,2028
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,9,"Fraud, deception and related offences (09)",Number,267
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,10,Controlled drug offences (10),Number,541
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1011,Importation of drugs (1011),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1012,Cultivation or manufacture of drugs (1012),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1021,Possession of drugs for sale or supply (1021),Number,141
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1022,Possession of drugs for personal use (1022),Number,374
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,103,Other drug offences (103),Number,20
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,11,Weapons and explosives offences (11),Number,97
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,111,"Explosives, chemical weapons offences (111)",Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1121,Discharging a firearm (1121),Number,8
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1122,Possession of a firearm (1122),Number,36
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,113,Offensive weapons offences (n.e.c.) (113),Number,53
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,114,Fireworks offences (114),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,12,Damage to property and to the environment  offences (12),Number,1503
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1211,Arson (1211),Number,50
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1212,Criminal damage (not arson) (1212),Number,1450
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1221,Litter offences (1221),Number,3
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,13,Public order and other social code offences (13),Number,2490
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,131,Disorderly conduct (131),Number,2137
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,132,Trespass offences (132),Number,61
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,133,Liquor licensing offences (133),Number,269
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,134,Prostitution offences (134),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,135,"Regulated betting/money, collection/trading offences (135)",Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,136,Social code offences (n.e.c.) (136),Number,21
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,15,"Offences against government, justice procedures and organisation of crime (15)",Number,275
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,151,Offences against government and its agents (151),Number,17
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,152,Organisation of crime and conspiracy to commit crime (152),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,153,Perverting the course of justice (153),Number,9
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,157,"Offences while in custody, breach of court orders (157)",Number,247
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,1,Homicide & related offences (01),Number,8
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,111,Murder (0111),Number,3
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,112,Manslaughter (0112),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,12,Dangerous driving leading to death (012),Number,3
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,2,Sexual offences (02),Number,117
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,21,Rape and sexual assault (021),Number,107
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,22,Other sexual offences (022),Number,10
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,899
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,311,Murder-attempt (0311),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,313,Threat to kill or cause serious harm  (0313 ),Number,6
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,33,Harassment and related offences (033),Number,101
CJQ05,Recorded crime incidents,20031,2003Q1,40,40 Southern Region,34,"Assault causing harm, poisoning (034)",Number,265
